index,combined,type
1,"Daziran Massage TherapyCall to make appointment.1314 Westgate Parkway, Suite 4 Dothan, AlabamaWe specialize in Back Walking, Deep Tissue, Sport Massage...etc$60/hour $65/hour deep tissue, we also have 90 Mins and 2 hours session.out call only within Dothan area.Open Monday to Saturday, 10am - 9pm, Sunday 1pm - 8pmshow contact infoAll major credit cards accepted    ***Daziran Massage***334-446-3721",thp
2,"331 SPAWelcome to best asian massage. shiatsu and swedish, walk on your back , firm or relaxing massage.Great table shower.Our place is very clean and very comfortable.Every therapists are licensed and very professional and friendly.You'll be a New person,In callHalf Hr: $60.00 with table showerOne Hr: $80.00 with table showerwe do accept credit cardsopen 9 am to 10 pm , 7days a weekTel:  show contact info*from panama city or beach: one mile before to I-10 on highway 331 to your left* from Tallahassee: Left turn to highway 331 (Exit 85) , we are 1 mile from I-10 on your right side building.*I-10 from alabama(Mobil) or Pesacola Fl - right turn to highway 331 and 1mile to your right.    ASIAN PROFESSIONAL MASSAGE ""right off, I-10 on 331 S""",thp
3,Hi I'm Kali and i have the most wonderful relaxing body rubs in town...........pls call or text me for the rates    *******HEAVENLY BODY********,thp
4,"JOUN SPA.................We do Shiatsu, Swedish & Deep-tissue Combination massageYou'll receive best quality massage in town.Half Hr: $60.00One Hr: $80.00 Include Table Showeropen 9am to 10pm We have additional parkings are back of the building and use the back entrance, pleaseOur location is between 23rd st and airport rd, behind the ""Dunkin Donuts""'Call:  show contact infoMM 37226credit card OK    ""GRAND OPENING"" ASIAN MASAGE",thp
5,"331 SPAWelcome to best asian massage, Shiatsu and Swedish, Walk on your back, firm or relaxing massage.Great table showerOur place is very clea and very comfortable.Every therapists are licensed and very professional and friendly.You'll be a New Person.Half Hr : $60.00One  Hr:   $80.00Open 9 am to 10 pm, 7days a weekCall:  show contact info*from the Panama city,  beach :   one mile before the I-10 on highway 331 to your left*from the Tallahassee & Mariana :           I-10 Exit 85,   left turn to 331 one mile on your right*from the  Mobil ,Crestview, Pensacola : I-10 Exit 85, right turn to 331 one mile on your right    ASIAN PROFESSIONAL MASSAGE ""right off, I-10 on 331 S""",thp
6,"We offer a variety if Massage options, whether you need a relaxing Swedish Massage or need a deep tissue Massage for those sore aching muscles. We also offer Foot Reflexology for tired aching feet. If you are in a hurry, we have Chair Massage. We also have hired a new Massage Therapist. Services offered: Acupressure Chair Massage Foot Reflexology Hot Stone's Swedish Massage Deep Tissue Massage Couple's Massage offered. (By appointment only) Business Hours: 10 AM till 8 PM, 7 days a week Call for appointment, or walk in's accepted. Phone:  show contact info 2518 Hwy. 77, Suite B Lynn Haven Florida, 32444 We are located 2 miles north of Panama City Mall on Hwy. 77, Between the BP station and the Waffle House.Lan's Massage Therapy, Lynn Haven,Panama City,Panama City Beach.",thp
7,Christmas special full body swedish and deep tissue massage 1 hour $60 plus tips for 2 weeks only for old and new clients. Monday through Friday only December 11 thru December 22nd. We offer full body waxing for women and men. Couple massages in same room and 90 min call for those prices. We accept walkins and cash or credit card. Sorry we don't accept American express. 8317 front beach rd unit 29b2show contact info we accept appointments also for therapist request.Open monday thru friday 11a to 5p and after 5p by appointment only up to 7p. For after 5p call before 3p to book after 5p appointments    1 hour Christmas rate 60+tip all clients,thp
8," Would you like to experience the best pure therapeutic Asian Massage? We welcome all clients. Let us take away your pains & stress and rejuvenate your body with our professional massage. Our oil massage can ease your stress and deep massage can relax your tight and pain muscles from work.  Our place is clean. Private and comfortable. Parking is easy. Tel:  show contact info Services offered: Pain Treatment & Trigger point . Deep Tissue Massage .  Swedish Massage .  Foot Reflexology.  Couple Massage .  Acupressure. Accept major credit card  Tel:  show contact info Open: 7 Days 10:00 am ---9:00 pm  Call for appointment, or walk ins accepted. Location: 7950 Front Beach Rd , Panama City Beach , FL32407    ---Asian Massage At PC Beach---",thp
9,"JOUN SPA.................We do Shiatsu, Swedish & Deep-tissue Combination massageYou'll receive best quality massage in town.Half Hr: $60.00One Hr: $80.00 Include Table Showeropen 9am to 10pm We have additional parkings are back of the building and use the back entrance, pleaseOur location is between 23rd st and airport rd, behind the ""Dunkin Donuts""'Call:  show contact infoMM 37226credit card OK    ""GRAND OPENING"" ASIAN MASAGE",thp
10,"Hi Gentlemen. Stressed? Sore? Just Need to Relax??? Come see why I have such a large clientele base. I work out of a clean, safe and private environment, with a shower in the same room & am an experienced female. I'll be available Mon-Fr Morning until 7:00/7:30pm & Sat Morning til biz slows (unless arrangements made otherwise). Let me help you Relax ALL those Stresses Completely Away. Reply to this Ad for more information. Military & Seniors Discount 60+!    **Holiday Special thru Dec: $10 Goes to Children's Holiday Gifts**",thp
11, ,thp
12,"We offer a variety if Massage options, whether you need a relaxing Swedish Massage or need a deep tissue Massage for those sore aching muscles. We also offer Foot Reflexology for tired aching feet. If you are in a hurry, we have Chair Massage. We also have hired a new Massage Therapist. Services offered: Acupressure Chair Massage Foot Reflexology Hot Stone's Swedish Massage Deep Tissue Massage Couple's Massage offered. (By appointment only) Business Hours: 10 AM till 8 PM, 7 days a week Call for appointment, or walk in's accepted. Phone:  show contact info 2518 Hwy. 77, Suite B Lynn Haven Florida, 32444 We are located 2 miles north of Panama City Mall on Hwy. 77, Between the BP station and the Waffle House.Lan's Massage Therapy, Lynn Haven,Panama City,Panama City Beach.",thp
