❤❤Grand Opening Oasis Massage ❤❤ 3345215388,https://auburn.craigslist.org/thp/d/grand-opening-oasis-massage/6417553605.html,Auburn,Best Asian Masseuse!!Professional Sweet Asian StaffSuper Clean and Cozy Private RoomsAmazing Price!! Come and Try!!Real Experienced Asian Magic Hands!!!!!Deep TissueSwedish MassageOpen 7 days a week 9:30am-9:30pm715 East Glenn Ave Suite 101 Auburn AL 36830Call  show contact info,2017-12-08 11:32:22,32.609014,-85.467371,715 east glenn Ave suite 101,2017-12-11 09:20:10.839850,CL1
Sun mas,https://montgomery.craigslist.org/thp/d/sun-mas/6420838785.html,montgomery,"Mon-Sat 9am-7:30pmSun-11am-5pmDeep tissue,Swedish,Relaxation mMili-Mon and Sat -$FireFight-Fri-$Call 4aptText 4infoLic Info only in person",2017-12-11 05:08:27,32.312900,-86.242100,east blvd at vaughn,2017-12-11 09:20:11.536347,CL1
,https://montgomery.craigslist.org/thp/d/wbest-asian-massagecall/6420405684.html,, , ,,,,2017-12-11 09:20:12.419160,CL1
Tai Ji Acupressure and Massage Therapy (334-819-4189),https://montgomery.craigslist.org/thp/d/tai-ji-acupressure-and/6419141531.html,Montgomery,"Tai Ji Acupressure specializes in acupressure and massage therapy that naturally heals and relieves pain and stimulates relaxation. We have well-trained, licensed massage therapists and provides the best professional massage therapy. We provide nice, private rooms with relaxation music.Our services include:Chinese Acupressure MassageHot Stone MassageDeep Tissue Massage",2017-12-09 14:48:45,32.359066,-86.145289,8876 Minnie Brown Road,2017-12-11 09:20:13.113609,CL1
Come to TRANQUIL SPA for a Great Massage,https://bham.craigslist.org/thp/d/come-to-tranquil-spa-for/6420645939.html,"st,St,N,G,Alabaster,AL","Tranquil Spa offers: Acupressure, Deep Tissue, Swedish, Shiatsu, Reflexology and Oil Massages, Hot Stones                             	Full Body Massages:  hr. $40.00 & 1 hr.  $60.00                             	Foot Massage:  hr. $30.00 & 1 hr. $50.00                             	Chair Massage: $10 for every ten minutesWhen you come to Tranquil Spa you come to beautifully decorated private rooms. Yes, we have one room for couples Massages. We have experienced Masseuses that are friendly and will make you feel welcomed and relaxed.             Come in, Relax and Let us work the kinks out              For Appointments call us at  show contact info                     Open Every Day 9am - 10pm                    Walk-ins are always Welcome                         Credit Cards Accepted               1123 1st St. N. #G Alabaster, AL 35007",2017-12-10 21:14:17,33.256643,-86.813653,1123 1st.St. N.,2017-12-11 09:20:14.047780,CL1
,https://bham.craigslist.org/thp/d/grand-opening-beautiful/6420364593.html,, , ,,,,2017-12-11 09:20:14.902592,CL1
GRAND NEW OPEN !!! ••• Sunny Massage ••• Free Table Shower!!!,https://bham.craigslist.org/thp/d/grand-new-open-sunny-massage/6420315317.html,Hoover,"GRAND NEW OPEN !!!  Sunny Massage Great Clean Massage RoomsBest Environment and Relaxing MusicComfortable Equipment Attentive ServiceWe Offer Free table shower!We Offer Swedish, Deep Tissue, Acupressure, Shiatsu, Reflexology, Hot Stone!We Will Complete Relax Both Your Body And Mind!Business Hour: 10:00 AM to 10:00 PMOpen 7 Days A Week CALL:  show contact infoLocation: 3726 Lorna RD, Hoover, AL 35216(BESTBUY Cross Street)    ",2017-12-10 15:36:08,33.379011,-86.801090,3726 Lorna Rd,2017-12-11 09:20:15.672669,CL1
●●●I Knead Massage●●●New Open●●&,https://bham.craigslist.org/thp/d/knead-massagenew-open/6420256742.html,BIRMINGHAM,"*GRAND NEW OPEN** I Knead Massage* Looking for a RIGHT place?U need I Knead Elegant conditions ,soothing musicBig clean private massage rooms ,comfortable equipmentAttentive serviceSwedish, Deep tissue, Shiatsu, Acupressure, Reflexology. Hot stoneA variety of skill offered by Friendly trained certified Asian masseuseIncrease blood circulation,relieve pain of your muscle and joint Take away the stress of your body and soul Call :  show contact infoHour: Mon---Sun. 9:30am-9:00pm. Location: 2015 valleydale road birmingham 35244(the Intersection of Hwy31 and Valleydale road )",2017-12-10 14:46:58,33.346160,-86.795565,2015 valleydale road,2017-12-11 09:20:16.488103,CL1
The Best Massage ★ Asian...H Massage...★,https://bham.craigslist.org/thp/d/the-best-massage-asianh/6420082797.html,"Birmingham,AL","Asian Massage on 280 (across street from Logan and chick A filet)Please call: show contact info...Professional, skilled, experienced Asian massage therapists.Providing relaxing, comfortable, Asian and western massage.work with your time. ",2017-12-10 12:31:58,33.428938,-86.706652,476 Cahaba Park Circle,2017-12-11 09:20:17.266120,CL1
★ NEW OPEN !!! LOTUS MASSAGE !!! ★ (4851 Cahaba Rive Rd 205-991-2841,https://bham.craigslist.org/thp/d/new-open-lotus-massage-4851/6420012548.html,"Cahaba,River,Rd","*NEW LOCATION* NEW OPEN *Best Environment For Relaxing !We Are Professional Licensed Massage Therapists.We Offer Swedish, Deep Tissue, Acupuncture, Ralaxing Soothing Traditional Massage And Offer Special Hot Towel, Will Completely Relax Both Your Body And MindAnd Take Away Your Pain Stress And Anxiety In Your Body !We Have Gift Certificate Offer For Your Loved One !Business Hour : 9:30 am --10:00 pmOpen 7 Days A Week Please Call :  show contact infoNEW Location: 4851 Cahaba River Rd suite 129    ",2017-12-10 11:37:27,33.429113,-86.730688,4851 Cahaba River Rd,2017-12-11 09:20:18.074405,CL1
